urls,texts,dates,Interest
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-47,(1) How to make a CSV file - YouTube,7/24/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-48,(1) how to create .csv file - YouTube,7/25/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-49,(1) Download and Install Browser History Examiner || RC - YouTube,7/26/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-50,Learn the Basics of Machine Learning | Free ML for Beginners Program,7/27/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-51,Free Online Courses to Power Your Future | SkillUp by Simplilearn,7/28/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-52,Predicting Human Behaviour Activity using Deep Learning (LSTM) | by Ajay Kumar Sharma | Medium,7/29/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-53,(1) Download and Install Browser History Examiner || RC - YouTube,7/30/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-54,(1) how to download brower history packag - YouTube,7/31/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-55,Self learning,8/1/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-56,(1) UTTARANCHAL UNIVERSITY CAMPUS TOUR | Episode #1 - YouTube,8/2/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-57,(1) Walk Through | Uttaranchal University - YouTube,8/3/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-58,(1) UTTARANCHAL UNIVERSITY CAMPUS TOUR | Episode #1 - YouTube,8/4/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-59,(1) Walk Through | Uttaranchal University - YouTube,8/5/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-60,(1) Walk Through | Uttaranchal University - YouTube,8/6/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-61,uttaranchal university - Google Search,8/7/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-62,uttaranchal university - Google Search,8/8/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-63,uttaranchal university - Google Search,8/9/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-64,uttaranchal university - Google Search,8/10/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-65,uttaranchal university - Google Search,8/11/2022 8:37,entertainment
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-66,behaviour analysis using machine learning - Google Search,8/12/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-67,Self learning,8/13/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-68,Learn the Basics of Machine Learning | Free ML for Beginners Program,8/14/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-69,Self learning,8/15/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-70,Dashboard,8/16/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-71,Learning on Simplilearn,8/17/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-72,Learning on Simplilearn,8/18/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-73,Learning on Simplilearn,8/19/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-74,Dashboard,8/20/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-75,Learning on Simplilearn,8/21/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-76,Learning on Simplilearn,8/22/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-77,Learning on Simplilearn,8/23/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-78,skillup free courses - Google Search,8/24/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-79,Free Online Courses to Power Your Future | SkillUp by Simplilearn,8/25/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-80,Learn the Basics of Machine Learning | Free ML for Beginners Program,8/26/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-81,Introduction to Deep Learning,8/27/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-82,Introduction to Deep Learning,8/28/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-83,Free Online Courses to Power Your Future | SkillUp by Simplilearn,8/29/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-84,Free Online Courses to Power Your Future | SkillUp by Simplilearn,8/30/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-85,Free Online Courses to Power Your Future | SkillUp by Simplilearn,8/31/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-86,Free Online Courses to Power Your Future | SkillUp by Simplilearn,9/1/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-87,Online Courses & Certification Programs for IT Professionals | SkillUp Online,9/2/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-88,skillup free courses - Google Search,9/3/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-89,skillup free courses - Google Search,9/4/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-90,skillup free courses - Google Search,9/5/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-91,Free PDF Editor - Free - download for Windows,9/6/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-92,Download Free PDF Editor for Windows - Free - 1.3,9/7/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-93,pdf editor download for pc - Google Search,9/8/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-94,pdf editor download for pc - Google Search,9/9/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-95,pdf editor download for pc - Google Search,9/10/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-96,Predicting Human Behaviour Activity using Deep Learning (LSTM) | by Ajay Kumar Sharma | Medium,9/11/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-97,Predicting Human Behaviour Activity using Deep Learning (LSTM) | by Ajay Kumar Sharma | Medium,9/12/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-98,Predicting Human Behaviour Activity using Deep Learning (LSTM) | by Ajay Kumar Sharma | Medium,9/13/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-99,behaviour analysis using machine learning - Google Search,9/14/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-100,behaviour analysis using machine learning - Google Search,9/15/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-101,behaviour analysis using machine learning - Google Search,9/16/2022 8:37,study
https://www.google.com/search?q=google+.com&oq=google+.com&aqs=chrome..69i57j0i512l3j0i2i512j0i512j0i2i512j0i512j0i131i433i512j0i512.4301j0j15&sourceid=chrome&ie=UTF-102,"Unstop - Competitions, Quizzes, Hackathons, Scholarships and Internships for Students and Corporates",9/17/2022 8:37,study
